nombre,L,c,area_entrada,area_salida,ganancia_espectral,freqs,S_L,L0,T_axial
acero,1.0000303152272556,5172.272550561275,87646299.89938998,18189819021.24136,207.53664492536052,"[0.00000000e+00 1.24998694e+01 2.49997387e+01 ... 4.56845225e+05
 4.56857725e+05 4.56870225e+05]","[34.823268   34.79295351 34.70185454 ...  0.05870005  0.05870005
  0.05870005]",1,5.0
aluminio,1.0000922637351257,5055.483498792605,83707718.32080893,17108761681.176218,204.3869074964757,"[0.00000000e+00 1.24998673e+01 2.49997347e+01 ... 4.46495261e+05
 4.46507761e+05 4.46520261e+05]","[18.15923442 18.19510876 18.30310081 ...  0.78954416  0.78954416
  0.78954415]",1,5.0
cobre,1.0000578745247606,3503.9258307539158,40042555.48012637,5607767919.535731,140.0452057141792,"[0.00000000e+00 1.24998197e+01 2.49996395e+01 ... 3.09470537e+05
 3.09483037e+05 3.09495536e+05]","[150.58566113 150.62277875 150.73431814 ...   0.21623494   0.21623494
   0.21623494]",1,5.0
nylon,1.002122065907892,1616.8585207993485,8234875.229283664,526535943.29271126,63.93975969670078,"[0.00000000e+00 1.24995672e+01 2.49991345e+01 ... 1.42495067e+05
 1.42507566e+05 1.42520066e+05]","[16.5066995  16.50187636 16.48731496 ...  0.04112996  0.04112996
  0.04112996]",1,5.0
acero,1.0000363782727066,5172.288229923965,87645768.67838848,18189629858.14255,207.53574453649256,"[0.00000000e+00 1.24998315e+01 2.49996629e+01 ... 4.56843841e+05
 4.56856340e+05 4.56868840e+05]","[35.31013538 35.27949288 35.18740903 ...  0.05567062  0.05567062
  0.05567062]",1,6.0
aluminio,1.0001107164821508,5055.530138053385,83706181.63174114,17107580608.736559,204.3765499183804,"[0.00000000e+00 1.24999270e+01 2.49998540e+01 ... 4.46497392e+05
 4.46509892e+05 4.46522391e+05]","[11.25465713 11.28329885 11.36957235 ...  0.7589481   0.75894809
  0.75894809]",1,6.0
cobre,1.0000694494297129,3503.9461083259084,40042103.453178324,5607698034.140445,140.04504135746984,"[0.00000000e+00 1.24999998e+01 2.49999996e+01 ... 3.09462495e+05
 3.09474995e+05 3.09487495e+05]","[140.23914411 140.27505418 140.38296445 ...   0.2818054    0.2818054
   0.2818054 ]",1,6.0
nylon,1.0025464790894703,1617.200866034571,8231233.459267442,525980182.8308431,63.9005302709096,"[0.00000000e+00 1.24996619e+01 2.49993238e+01 ... 1.42458646e+05
 1.42471146e+05 1.42483646e+05]","[1.97459967e+01 1.97409130e+01 1.97255597e+01 ... 5.19113928e-04
 5.19113915e-04 5.19113909e-04]",1,6.0
acero,1.000042441318158,5172.3039092391255,87645269.48122828,18189278901.694145,207.5329223055204,"[0.00000000e+00 1.24999646e+01 2.49999292e+01 ... 4.56836205e+05
 4.56848705e+05 4.56861205e+05]","[33.64563482 33.61603608 33.52708686 ...  0.06720319  0.06720319
  0.06720319]",1,7.0
aluminio,1.000129169229176,5055.576776883903,83704666.88733421,17106415724.915684,204.3663317833972,"[0.00000000e+00 1.24999866e+01 2.49999732e+01 ... 4.46487022e+05
 4.46499522e+05 4.46512022e+05]",[6.05842108 6.07995536 6.14488607 ... 0.7272523  0.7272523  0.7272523 ],1,7.0
cobre,1.000081024334665,3503.9663857805544,40041617.5035087,5607646623.047625,140.04545701871925,"[0.00000000e+00 1.24999275e+01 2.49998550e+01 ... 3.09460705e+05
 3.09473204e+05 3.09485704e+05]","[142.15716981 142.19332369 142.30196665 ...   0.27076249   0.27076249
   0.27076249]",1,7.0
nylon,1.0029708922710487,1617.5431388140705,8227603.59527668,525407991.7387694,63.859176691545606,"[0.00000000e+00 1.24997582e+01 2.49995165e+01 ... 1.42434745e+05
 1.42447245e+05 1.42459745e+05]","[1.37139858e+01 1.37099189e+01 1.36976333e+01 ... 1.29246628e-02
 1.29246619e-02 1.29246615e-02]",1,7.0
acero,1.000048504363609,5172.319588506755,87644714.62992682,18189091358.73082,207.53209632244094,"[0.00000000e+00 1.24999267e+01 2.49998534e+01 ... 4.56834821e+05
 4.56847320e+05 4.56859820e+05]","[34.17026168 34.14030462 34.05027953 ...  0.0640342   0.0640342
  0.0640342 ]",1,8.0
aluminio,1.000147621976201,5055.623415284171,83703066.99935313,17106218976.027058,204.36788745338637,"[0.00000000e+00 1.24998713e+01 2.49997426e+01 ... 4.46482903e+05
 4.46495403e+05 4.46507903e+05]",[7.8870277  7.91133245 7.98458282 ... 0.73303444 0.73303443 0.73303443],1,8.0
cobre,1.000092599239617,3503.9866631178547,40041148.299736775,5607594103.481755,140.0457864371142,"[0.00000000e+00 1.24998551e+01 2.49997103e+01 ... 3.09458914e+05
 3.09471414e+05 3.09483913e+05]","[144.03065218 144.06704333 144.17639934 ...   0.25977122   0.25977121
   0.25977121]",1,8.0
nylon,1.003395305452627,1617.8853391838322,8223985.792664782,524769335.9542855,63.80961120121862,"[0.00000000e+00 1.24998563e+01 2.49997127e+01 ... 1.42398363e+05
 1.42410863e+05 1.42423363e+05]",[4.51257479 4.51034709 4.50361523 ... 0.02556658 0.02556658 0.02556658],1,8.0
acero,1.0000545674090602,5172.335267726855,87644168.9998987,18188903303.4947,207.53124264907714,"[0.00000000e+00 1.24998888e+01 2.49997776e+01 ... 4.56833436e+05
 4.56845936e+05 4.56858435e+05]","[34.68134812 34.65104404 34.55997698 ...  0.060907    0.060907
  0.060907  ]",1,9.0
aluminio,1.0001660747232264,5055.670053254202,83701531.97507827,17105057786.981508,204.35776243706576,"[0.00000000e+00 1.24999310e+01 2.49998619e+01 ... 4.46485034e+05
 4.46497534e+05 4.46510034e+05]",[3.69274601 3.71001222 3.76212658 ... 0.70128991 0.70128991 0.70128991],1,9.0
cobre,1.0001041741445693,3504.006940337813,40040696.63333876,5607540490.31112,140.0460272122778,"[0.00000000e+00 1.24997828e+01 2.49995656e+01 ... 3.09457123e+05
 3.09469623e+05 3.09482122e+05]","[145.85756559 145.89418738 146.00423647 ...   0.24884454   0.24884454
   0.24884454]",1,9.0
nylon,1.0038197186342055,1618.227467189793,8220380.129043155,524124170.9572056,63.75911609068292,"[0.00000000e+00 1.24999561e+01 2.49999123e+01 ... 1.42374500e+05
 1.42387000e+05 1.42399500e+05]",[0.05093421 0.05074981 0.05019015 ... 0.00953789 0.00953789 0.00953789],1,9.0
acero,1.0000606304545112,5172.350946899425,87643632.84954986,18188714750.275726,207.53036083635075,"[0.00000000e+00 1.24998509e+01 2.49997018e+01 ... 4.56832051e+05
 4.56844551e+05 4.56857051e+05]","[35.17834635 35.14770663 35.05563181 ...  0.05782486  0.05782486
  0.05782486]",1,10.0
aluminio,1.0001845274702514,5055.716690794006,83700018.83715159,17103914455.689175,204.34779696963855,"[0.00000000e+00 1.24999906e+01 2.49999812e+01 ... 4.46474665e+05
 4.46487165e+05 4.46499665e+05]",[1.10160277 1.11196691 1.14335497 ... 0.66870677 0.66870677 0.66870676],1,10.0
cobre,1.0001157490495214,3504.0272174404295,40040222.88975201,5607454046.612451,140.0455252722291,"[0.00000000e+00 1.24999629e+01 2.49999258e+01 ... 3.09461582e+05
 3.09474081e+05 3.09486581e+05]","[134.68114736 134.71644096 134.82249825 ...   0.31799904   0.31799904
   0.31799904]",1,10.0
nylon,1.004244131815784,1618.5695228778409,8216813.491613896,523592561.1267377,63.72209393107411,"[0.00000000e+00 1.24995089e+01 2.49990179e+01 ... 1.42344408e+05
 1.42356907e+05 1.42369407e+05]","[1.44820228e+00 1.44947065e+00 1.45329997e+00 ... 4.06115238e-05
 4.06115058e-05 4.06114998e-05]",1,10.0
acero,1.0000666934999622,5172.366626024466,87643150.50930113,18188364004.519917,207.52750099495427,"[0.00000000e+00 1.24999840e+01 2.49999680e+01 ... 4.56836916e+05
 4.56849416e+05 4.56861916e+05]","[33.47157079 33.44200609 33.35315974 ...  0.06958587  0.06958587
  0.06958587]",1,11.0
aluminio,1.0002029802172767,5055.763327903596,83698416.29671256,17103687248.771465,204.34899494559792,"[0.00000000e+00 1.24998753e+01 2.49997506e+01 ... 4.46470547e+05
 4.46483046e+05 4.46495546e+05]",[1.90405416 1.91704751 1.95633112 ... 0.67526411 0.67526411 0.6752641 ],1,11.0
cobre,1.0001273239544735,3504.0474944257076,40039745.42195311,5607406881.579344,140.0460173381846,"[0.00000000e+00 1.24998906e+01 2.49997811e+01 ... 3.09459791e+05
 3.09472291e+05 3.09484791e+05]","[136.69755657 136.73311064 136.83995072 ...   0.30637071   0.30637071
   0.30637071]",1,11.0
nylon,1.0046685449973622,1618.9115062938154,8213179.605869832,523163602.3011684,63.69805938826316,"[0.00000000e+00 1.24996120e+01 2.49992241e+01 ... 1.42308083e+05
 1.42320583e+05 1.42333082e+05]",[5.28608556 5.28839423 5.29536688 ... 0.04486174 0.04486174 0.04486174],1,11.0
acero,1.0000727565454135,5172.382305101981,87642591.06251949,18188177110.459362,207.52669324307058,"[0.00000000e+00 1.24999461e+01 2.49998922e+01 ... 4.56835531e+05
 4.56848031e+05 4.56860531e+05]","[34.00586744 33.97593669 33.88599126 ...  0.06636662  0.06636662
  0.06636662]",1,12.0
aluminio,1.0002214329643018,5055.809964582984,83696882.94413924,17102548732.095348,204.33913582552276,"[0.00000000e+00 1.24999350e+01 2.49998700e+01 ... 4.46472678e+05
 4.46485178e+05 4.46497678e+05]",[0.26561301 0.27178009 0.29056489 ... 0.64273153 0.64273153 0.64273153],1,12.0
cobre,1.0001388988594258,3504.0677712936495,40039285.109233476,5607358505.631618,140.04641916892024,"[0.00000000e+00 1.24998182e+01 2.49996365e+01 ... 3.09458000e+05
 3.09470500e+05 3.09483000e+05]","[138.6726411  138.70844913 138.81605238 ...   0.29477414   0.29477414
   0.29477414]",1,12.0
nylon,1.0050929581789407,1619.2534174835077,8209559.359836319,522795561.98626405,63.68131821348904,"[0.00000000e+00 1.24997169e+01 2.49994338e+01 ... 1.42284277e+05
 1.42296777e+05 1.42309277e+05]",[5.31695965 5.31920854 5.32600102 ... 0.17328627 0.17328626 0.17328626],1,12.0
acero,1.0000788195908645,5172.397984131966,87642040.70041424,18187989692.511646,207.5258579918676,"[0.00000000e+00 1.24999082e+01 2.49998165e+01 ... 4.56834146e+05
 4.56846646e+05 4.56859146e+05]","[34.52685692 34.49657141 34.4055608  ...  0.06318771  0.06318771
  0.06318771]",1,13.0
aluminio,1.0002398857113268,5055.856600832182,83695371.41886376,17101429538.161991,204.32945392614113,"[0.00000000e+00 1.24999947e+01 2.49999893e+01 ... 4.46462309e+05
 4.46474809e+05 4.46487309e+05]",[0.11087083 0.11035924 0.10908835 ... 0.60962681 0.6096268  0.6096268 ],1,13.0
cobre,1.0001504737643778,3504.0880480442556,40038832.29028863,5607245674.495934,140.04518498048117,"[0.00000000e+00 1.24999983e+01 2.49999967e+01 ... 3.09449959e+05
 3.09462459e+05 3.09474959e+05]","[126.53512417 126.56944849 126.67259238 ...   0.36786755   0.36786754
   0.36786754]",1,13.0
nylon,1.005517371360519,1619.5952564926608,8205952.89917312,522353095.758638,63.655385569087706,"[0.00000000e+00 1.24998234e+01 2.49996469e+01 ... 1.42247991e+05
 1.42260491e+05 1.42272990e+05]",[1.31586938 1.31697405 1.3203099  ... 0.30270525 0.30270522 0.30270521],1,13.0
acero,1.0000848826363158,5172.413663114425,87641499.68579566,18187801764.701332,207.5249947788044,"[0.00000000e+00 1.24998703e+01 2.49997407e+01 ... 4.56832761e+05
 4.56845261e+05 4.56857761e+05]","[35.03398105 35.00335217 34.91131059 ...  0.06005247  0.06005247
  0.06005247]",1,14.0
aluminio,1.000258338458352,5055.903236651203,83693766.21472031,17101171826.352676,204.33029363834353,"[0.00000000e+00 1.24998794e+01 2.49997587e+01 ... 4.46458191e+05
 4.46470691e+05 4.46483191e+05]","[4.05139221e-04 2.37627999e-03 8.56110777e-03 ... 6.16759012e-01
 6.16759007e-01 6.16759005e-01]",1,14.0
cobre,1.00016204866933,3504.1083246775297,40038346.75281349,5607204268.039517,140.0458491120266,"[0.00000000e+00 1.24999260e+01 2.49998520e+01 ... 3.09448168e+05
 3.09460668e+05 3.09473168e+05]","[128.6744106  128.70901834 128.81301399 ...   0.35569779   0.35569778
   0.35569778]",1,14.0
nylon,1.0059417845420975,1619.9370233669692,8202360.266336134,521809237.10246414,63.61696147925336,"[0.00000000e+00 1.24999317e+01 2.49998634e+01 ... 1.42224223e+05
 1.42236723e+05 1.42249223e+05]",[0.82505506 0.82426078 0.82185963 ... 0.31087449 0.31087446 0.31087445],1,14.0
acero,1.0000909456817668,5172.429342049355,87640968.27276933,18187613341.66935,207.52410316900128,"[0.00000000e+00 1.24998324e+01 2.49996649e+01 ... 4.56831376e+05
 4.56843876e+05 4.56856376e+05]","[35.52669436 35.49573362 35.40269558 ...  0.05696419  0.05696419
  0.05696419]",1,15.0
aluminio,1.0002767912053772,5055.949872040056,83692234.54065695,17100058555.267136,204.3207311779933,"[0.00000000e+00 1.24999390e+01 2.49998781e+01 ... 4.46460322e+05
 4.46472822e+05 4.46485322e+05]",[0.73947411 0.73484965 0.72122813 ... 0.58385233 0.58385232 0.58385232],1,15.0
cobre,1.000173623574282,3504.128601193472,40037877.9740482,5607161543.447173,140.0464217179949,"[0.00000000e+00 1.24998537e+01 2.49997073e+01 ... 3.09446378e+05
 3.09458877e+05 3.09471377e+05]","[130.77809518 130.81297995 130.91780821 ...   0.34352555   0.34352555
   0.34352554]",1,15.0
nylon,1.0063661977236757,1620.2787181520794,8198816.59304561,521449313.55712765,63.600558402468806,"[0.00000000e+00 1.24994924e+01 2.49989848e+01 ... 1.42194225e+05
 1.42206725e+05 1.42219224e+05]",[5.76750667 5.76539681 5.7590211  ... 0.28296484 0.28296481 0.2829648 ],1,15.0
acero,1.0000970087272179,5172.44502093676,87640469.98698291,18187264959.720787,207.52130793481723,"[0.00000000e+00 1.24999656e+01 2.49999311e+01 ... 4.56823741e+05
 4.56836241e+05 4.56848741e+05]","[33.82849833 33.79860251 33.70876266 ...  0.06877569  0.06877569
  0.06877569]",1,16.0
aluminio,1.0002952439524024,5055.996506998756,83690724.63409095,17098965770.648088,204.31136001519243,"[0.00000000e+00 1.24999987e+01 2.49999974e+01 ... 4.46449954e+05
 4.46462454e+05 4.46474954e+05]",[2.82957717 2.81851524 2.78556209 ... 0.55066075 0.55066074 0.55066074],1,16.0
cobre,1.0001851984792343,3504.1488775920875,40037426.74402609,5607117508.913665,140.04690023567244,"[0.00000000e+00 1.24997813e+01 2.49995627e+01 ... 3.09444587e+05
 3.09457087e+05 3.09469587e+05]","[132.84396977 132.87912509 132.98476642 ...   0.33136432   0.33136431
   0.33136431]",1,16.0
nylon,1.0067906109052542,1620.6203408935896,8195194.328674108,521154444.65975714,63.59268905147173,"[0.00000000e+00 1.24996040e+01 2.49992079e+01 ... 1.42157996e+05
 1.42170496e+05 1.42182995e+05]","[22.22433336 22.22026989 22.20799166 ...  0.08510392  0.0851039
  0.0851039 ]",1,16.0
acero,1.000103071772669,5172.460699776638,87639914.96062554,18187078195.065353,207.52049112823033,"[0.00000000e+00 1.24999277e+01 2.49998553e+01 ... 4.56822357e+05
 4.56834857e+05 4.56847356e+05]","[34.35936595 34.32910754 34.23817897 ...  0.06554473  0.06554473
  0.06554473]",1,17.0
aluminio,1.0003136966994275,5056.0431415273115,83689116.75522035,17098677778.977976,204.31184414323977,"[0.00000000e+00 1.24998834e+01 2.49997668e+01 ... 4.46445836e+05
 4.46458336e+05 4.46470836e+05]",[1.92500077 1.91627045 1.89031926 ... 0.55817409 0.55817409 0.55817408],1,17.0
cobre,1.0001967733841863,3504.169153873375,40036952.20744153,5606984418.916795,140.04523595766221,"[0.00000000e+00 1.24999615e+01 2.49999229e+01 ... 3.09449046e+05
 3.09461546e+05 3.09474046e+05]","[120.05789702 120.0914507  120.19227808 ...   0.40737664   0.40737664
   0.40737664]",1,17.0
nylon,1.0072150240868325,1620.96189163705,8191587.532381063,521248346.70844656,63.632152454938655,"[0.00000000e+00 1.24997173e+01 2.49994345e+01 ... 1.42134285e+05
 1.42146785e+05 1.42159284e+05]","[3.88662049e+01 3.88609601e+01 3.88451122e+01 ... 3.37037152e-03
 3.37037208e-03 3.37037227e-03]",1,17.0
acero,1.0001091348181201,5172.476378568989,87639369.1472332,18186890908.5899,207.51964654191107,"[0.00000000e+00 1.24998898e+01 2.49997796e+01 ... 4.56820972e+05
 4.56833472e+05 4.56845972e+05]","[34.87660148 34.84599187 34.7540088  ...  0.062356    0.062356
  0.062356  ]",1,18.0
aluminio,1.0003321494464525,5056.089775625738,83687586.76636657,17097591815.565819,204.30260300488453,"[0.00000000e+00 1.24999431e+01 2.49998862e+01 ... 4.46447968e+05
 4.46460468e+05 4.46472968e+05]",[4.84084167 4.82576362 4.78075021 ... 0.52532105 0.52532104 0.52532104],1,18.0
cobre,1.0002083482891384,3504.1894300373383,40036475.151417896,5606947725.70948,140.04598817713125,"[0.00000000e+00 1.24998891e+01 2.49997783e+01 ... 3.09447255e+05
 3.09459755e+05 3.09472255e+05]","[122.26861143 122.30246495 122.40419347 ...   0.39472951   0.39472951
   0.3947295 ]",1,18.0
nylon,1.007639437268411,1621.3033704279628,8187996.296838641,521626370.3829093,63.70622939635519,"[0.00000000e+00 1.24998323e+01 2.49996645e+01 ... 1.42098093e+05
 1.42110593e+05 1.42123093e+05]","[41.6978221  41.69253602 41.67656237 ...  0.1975651   0.1975651
  0.1975651 ]",1,18.0
acero,1.0001151978635712,5172.492057313816,87638832.80537988,18186703114.644672,207.518773727076,"[0.00000000e+00 1.24998519e+01 2.49997038e+01 ... 4.56819587e+05
 4.56832087e+05 4.56844587e+05]","[35.37964889 35.34869958 35.25569655 ...  0.05921284  0.05921284
  0.05921284]",1,19.0
aluminio,1.0003506021934778,5056.136409294045,83686018.8390022,17097287993.92757,204.30280028997282,"[0.00000000e+00 1.24998278e+01 2.49996556e+01 ... 4.46443850e+05
 4.46456350e+05 4.46468850e+05]",[3.6680702  3.65524348 3.61699099 ... 0.53262869 0.53262869 0.53262869],1,19.0
cobre,1.0002199231940907,3504.2097060839787,40036015.26221818,5606909621.8729725,140.0466451306454,"[0.00000000e+00 1.24998168e+01 2.49996336e+01 ... 3.09445465e+05
 3.09457964e+05 3.09470464e+05]","[124.44758861 124.48173563 124.58434623 ...   0.38205809   0.38205808
   0.38205808]",1,19.0
nylon,1.0080638504499895,1621.6447773117827,8184420.576681487,521957348.8449861,63.774502294287345,"[0.0000000e+00 1.2499949e+01 2.4999898e+01 ... 1.4207442e+05 1.4208692e+05
 1.4209942e+05]","[27.0946886  27.09057742 27.07815164 ...  0.60999375  0.60999373
  0.60999373]",1,19.0
acero,1.0001212609090224,5172.507736011118,87638351.37556438,18186354912.80423,207.51594053690758,"[0.00000000e+00 1.24999850e+01 2.49999700e+01 ... 4.56824452e+05
 4.56836952e+05 4.56849452e+05]","[33.63770793 33.60785606 33.51814885 ...  0.0712633   0.0712633
  0.0712633 ]",1,20.0
aluminio,1.0003690549405029,5056.183042532245,83684467.92005649,17096209313.372532,204.293696767057,"[0.00000000e+00 1.24998875e+01 2.49997750e+01 ... 4.46433482e+05
 4.46445982e+05 4.46458482e+05]",[7.38821608 7.36913421 7.31209737 ... 0.50013693 0.50013692 0.50013692],1,20.0
cobre,1.0002314980990428,3504.2299820132994,40035561.68621828,5606745628.772716,140.04413557916348,"[0.00000000e+00 1.24999969e+01 2.49999938e+01 ... 3.09437424e+05
 3.09449924e+05 3.09462424e+05]","[110.95305401 110.98544768 111.08278822 ...   0.46099184   0.46099184
   0.46099183]",1,20.0
nylon,1.0084882636315677,1621.9861123339156,8180882.028323015,522090393.814924,63.818350149457714,"[0.00000000e+00 1.24995175e+01 2.49990351e+01 ... 1.42044517e+05
 1.42057017e+05 1.42069516e+05]","[14.07819778 14.07534347 14.066714   ...  0.81185598  0.81185595
  0.81185594]",1,20.0
acero,5.000030315227255,5172.2098326352,3201191.620318441,128881766.5602832,40.26055976850976,"[0.00000000e+00 1.24991660e+01 2.49983320e+01 ... 9.13439051e+04
 9.13564043e+04 9.13689034e+04]",[4.29540071 4.29388124 4.28927603 ... 0.14896079 0.14896077 0.14896077],5,1.0
aluminio,5.000092263735125,5055.296937446633,3044416.807252223,121937943.23510188,40.05297268909723,"[0.00000000e+00 1.24994539e+01 2.49989077e+01 ... 8.92835990e+04
 8.92960985e+04 8.93085979e+04]",[1.80326724 1.80619368 1.81507853 ... 0.02715054 0.02715053 0.02715053],5,1.0
cobre,5.00005787452476,3503.8447192924336,1313167.1396360288,34569521.84425927,26.32530224129803,"[0.00000000e+00 1.24988471e+01 2.49976942e+01 ... 6.18692931e+04
 6.18817919e+04 6.18942908e+04]",[0.56479405 0.56486679 0.5651031  ... 0.04832849 0.04832841 0.04832837],5,1.0
nylon,5.002122065907892,1615.4884143798192,129036.67936261096,1395757.641524965,10.816751085190997,"[0.00000000e+00 1.24986583e+01 2.49973166e+01 ... 2.84969409e+04
 2.85094396e+04 2.85219383e+04]",[0.0405646  0.04039309 0.0398303  ... 0.00016216 0.00016216 0.00016216],5,1.0
acero,5.000060630454511,5172.225512188017,3201136.268643738,128857168.64815748,40.253571805223984,"[0.00000000e+00 1.24999830e+01 2.49999661e+01 ... 9.13498761e+04
 9.13623760e+04 9.13748760e+04]",[2.68441155 2.68344475 2.68051709 ... 0.17876857 0.17876855 0.17876854],5,2.0
aluminio,5.000184527470251,5055.343578428578,3044369.006246297,121934565.80511478,40.052492176518356,"[0.00000000e+00 1.24993385e+01 2.49986771e+01 ... 8.92827753e+04
 8.92952746e+04 8.93077739e+04]",[1.86138907 1.86435874 1.87337464 ... 0.02818598 0.02818598 0.02818598],5,2.0
cobre,5.000115749049522,3503.864997333835,1313160.6056664558,34570180.73470021,26.325934988854723,"[0.00000000e+00 1.24987748e+01 2.49975495e+01 ... 6.18689350e+04
 6.18814338e+04 6.18939326e+04]",[0.53259316 0.53266387 0.53289354 ... 0.05118543 0.05118534 0.0511853 ],5,2.0
nylon,5.004244131815784,1615.8310498987607,128934.7238780469,1394308.9109051204,10.814068305012462,"[0.00000000e+00 1.24987459e+01 2.49974919e+01 ... 2.84971407e+04
 2.85096395e+04 2.85221382e+04]",[0.04901813 0.04882807 0.04820231 ... 0.00032772 0.00032772 0.00032772],5,2.0
acero,5.000090945681767,5172.2411916933015,3201109.313619069,128857157.68317455,40.253907336108085,"[0.00000000e+00 1.24999451e+01 2.49998903e+01 ... 9.13495991e+04
 9.13620991e+04 9.13745990e+04]",[2.72777171 2.72678745 2.72380681 ... 0.17905205 0.17905203 0.17905202],5,3.0
