nombre,L,c,area_entrada,area_salida,ganancia_espectral,freqs,S_L,L0,T_axial,tipo
cuerda4,1.5665893310498231,625.3338620206359,34504236.34236653,58767646121.91718,1703.200892168666,"[0.00000000e+00 9.99999330e-02 1.99999866e-01 ... 3.52596764e+04
 3.52597764e+04 3.52598764e+04]","[9.71903506e+01 9.71903414e+01 9.71903138e+01 ... 3.37917068e-02
 3.37917067e-02 3.37917066e-02]",1,10.0,medio
cuerda5,1.1328416659087,1032.457835721903,302230203.90043324,1326369543276.9658,4388.606850538093,"[0.00000000e+00 9.99999426e-02 1.99999885e-01 ... 8.05056538e+04
 8.05057538e+04 8.05058538e+04]","[57.96304776 57.96306212 57.96310519 ...  0.47107501  0.47107501
  0.47107501]",1,10.0,mejor
cuerda1,1.2296487998887438,128.35483924085383,135431.23048806412,57591210.68302836,425.2432062788059,"[0.00000000e+00 9.99997580e-02 1.99999516e-01 ... 9.22027768e+03
 9.22037768e+03 9.22047768e+03]",[0.13909853 0.13915355 0.13929294 ... 0.00227061 0.00227061 0.00227061],1,10.0,peor
cuerda4,1.6232482641548056,636.5416679491166,32535000.774774663,54266692038.25011,1667.9480788678711,"[0.00000000e+00 9.99999793e-02 1.99999959e-01 ... 3.46388928e+04
 3.46389928e+04 3.46390928e+04]","[23.5732208  23.57321692 23.57320528 ...  0.97888929  0.97888929
  0.97888929]",1,11.0,medio
cuerda5,1.14612583249957,1038.4937048111633,298298026.8447011,1300723928982.5264,4360.484521943234,"[0.00000000e+00 9.99999904e-02 1.99999981e-01 ... 8.00377923e+04
 8.00378923e+04 8.00379923e+04]","[54.64035348 54.64033955 54.64029775 ... 31.31610927 31.31610927
 31.31610927]",1,11.0,mejor
cuerda1,1.252613679877618,129.54787010617028,130040.47971710832,51218011.93344328,393.8620654496475,"[0.00000000e+00 9.99996070e-02 1.99999214e-01 ... 9.13536410e+03
 9.13546410e+03 9.13556410e+03]",[0.35558082 0.35559984 0.35564662 ... 0.02041339 0.02041339 0.02041339],1,11.0,peor
cuerda4,1.679907197259788,647.5555196901986,30716136.806870423,50212072872.0046,1634.7131537965226,"[0.00000000e+00 9.99999677e-02 1.99999935e-01 ... 3.40496890e+04
 3.40497890e+04 3.40498890e+04]","[106.11151325 106.11153927 106.11161732 ...   6.33636596   6.33636596
   6.33636596]",1,12.0,medio
cuerda5,1.15940999909044,1044.494694731034,294456955.8323717,1275701504666.2295,4332.387058271635,"[0.00000000e+00 9.99999948e-02 1.99999990e-01 ... 7.95778959e+04
 7.95779959e+04 7.95780959e+04]","[50.67125963 50.67124728 50.67121023 ... 12.62696279 12.62696279
 12.62696279]",1,12.0,mejor
cuerda1,1.2755785598664924,130.73001392773162,125102.27919056085,47316418.39552472,378.2218733477304,"[0.00000000e+00 9.99994927e-02 1.99998985e-01 ... 9.05275407e+03
 9.05285407e+03 9.05295407e+03]",[1.0714842  1.07173755 1.07232212 ... 0.00380527 0.00380527 0.00380527],1,12.0,peor
cuerda4,1.7365661303647704,658.3851510529706,29032606.07017535,46554840267.79531,1603.5363878553164,"[0.00000000e+00 9.99998778e-02 1.99999756e-01 ... 3.34896591e+04
 3.34897591e+04 3.34898591e+04]","[46.89581591 46.89580521 46.89577312 ...  0.97497827  0.97497827
  0.97497827]",1,13.0,medio
cuerda5,1.17269416568131,1050.4614032462762,290703679.03967434,1252211017502.4417,4307.51692458472,"[0.00000000e+00 9.99999815e-02 1.99999963e-01 ... 7.91258854e+04
 7.91259854e+04 7.91260854e+04]","[116.90296089 116.90298744 116.90306707 ...  36.46739209  36.46739209
  36.46739209]",1,13.0,mejor
cuerda1,1.2985434398553668,131.90156342532353,120574.71184869648,48323680.43430821,400.7779051958035,"[0.00000000e+00 9.99999477e-02 1.99999895e-01 ... 8.97239530e+03
 8.97249530e+03 8.97259530e+03]",[0.01513871 0.01512894 0.01510769 ... 0.0057915  0.0057915  0.0057915 ],1,13.0,peor
cuerda4,1.7932250634697526,669.0395079312152,27470673.461455926,43238336158.23115,1573.9816578905068,"[0.00000000e+00 9.99999635e-02 1.99999927e-01 ... 3.29562880e+04
 3.29563880e+04 3.29564880e+04]",[2.41806656 2.41807029 2.41808145 ... 0.00301652 0.00301652 0.00301652],1,14.0,medio
cuerda5,1.18597833227218,1056.3944112399474,287034837.9689912,1228948878484.8796,4281.532120563166,"[0.00000000e+00 9.99999882e-02 1.99999976e-01 ... 7.86814907e+04
 7.86815907e+04 7.86816907e+04]","[152.53034315 152.53038426 152.53050761 ...   0.48117808   0.48117808
   0.48117808]",1,14.0,mejor
cuerda1,1.3215083198442412,133.0627984319599,116421.66806221582,45675733.4352158,392.33017526262086,"[0.00000000e+00 9.99999071e-02 1.99999814e-01 ... 8.89409174e+03
 8.89419174e+03 8.89429174e+03]",[0.22443003 0.22457671 0.22488078 ... 0.01405846 0.01405846 0.01405846],1,14.0,peor
cuerda4,1.849883996574735,679.5268348039261,26019629.89506748,40234687951.777824,1546.3205323840937,"[0.00000000e+00 9.99998784e-02 1.99999757e-01 ... 3.24476605e+04
 3.24477605e+04 3.24478605e+04]","[10.08592216 10.08592503 10.08593363 ...  0.29156719  0.29156719
  0.29156719]",1,15.0,medio
